title,name,medium,date,country,image_url,objectURL,department
100 Woodcuts by Posada / 100 Grabados en madera por Posada,José Guadalupe Posada,Woodcut,1947,,,https://www.metmuseum.org/art/collection/search/358856,Drawings and Prints
"Fat girl yawning, N.Y.C.",Diane Arbus,Gelatin silver print,1960,,,https://www.metmuseum.org/art/collection/search/306304,Photographs
A Fat Man Confronting a Thin Man,David Levine,Pen and black ink,1964,,,https://www.metmuseum.org/art/collection/search/397717,Drawings and Prints
"[Crowd Viewing ""Fat Boy""]",Leon Levinstein,Gelatin silver print,1965,,,https://www.metmuseum.org/art/collection/search/299465,Photographs
"Transvestite on a couch, N.Y.C.",Diane Arbus,Gelatin silver print,1966,,,https://www.metmuseum.org/art/collection/search/848467,Photographs
"Transvestite with a torn stocking, N.Y.C.",Diane Arbus,Gelatin silver print,1966,,,https://www.metmuseum.org/art/collection/search/288916,Photographs
"Camp Lakecrest campers walking away, Dutchess County, N.Y.",Diane Arbus,Gelatin silver print,1968,,,https://www.metmuseum.org/art/collection/search/306287,Photographs
"Fat Couple and Little Shaggy Dog, from 347 Suite",Pablo Picasso,Etching,1968,,,https://www.metmuseum.org/art/collection/search/370026,Drawings and Prints
"Fat Courtesan and Old Beau, from 347 Suite",Pablo Picasso,Etching,1968,,,https://www.metmuseum.org/art/collection/search/369957,Drawings and Prints
"Fat Courtesan Greeted by Three Gentlemen, from 347 Suite",Pablo Picasso,Etching,1968,,,https://www.metmuseum.org/art/collection/search/370095,Drawings and Prints
"Fat Courtesan with an Old Man and a Spectator in Costume, from 347 Suite",Pablo Picasso,Etching,1968,,,https://www.metmuseum.org/art/collection/search/370027,Drawings and Prints
"Fat Prostitute and Musketeer, from 347 Suite",Pablo Picasso,Sugar lift aquatint,1968,,,https://www.metmuseum.org/art/collection/search/370024,Drawings and Prints
"Girl sitting in the grass at Camp Lakecrest, Dutchess County, N.Y.",Diane Arbus,Gelatin silver print,1968,,,https://www.metmuseum.org/art/collection/search/306285,Photographs
"Girl with a baseball glove at Camp Lakecrest, Dutchess County, N.Y.",Diane Arbus,Gelatin silver print,1968,,,https://www.metmuseum.org/art/collection/search/306283,Photographs
"Girl with a plaid shirt at Camp Lakecrest, Dutchess County, N.Y.",Diane Arbus,Gelatin silver print,1968,,,https://www.metmuseum.org/art/collection/search/306284,Photographs
"Girls standing in a line at Camp Lakecrest, Dutchess County, N.Y.",Diane Arbus,Gelatin silver print,1968,,,https://www.metmuseum.org/art/collection/search/306286,Photographs
"Fat man at a carnival, Md.",Diane Arbus,Gelatin silver print,1970,,,https://www.metmuseum.org/art/collection/search/290487,Photographs
The Fat Boy (from Side Show),Peter Blake,Wood engraving; working proofs,1976,,,https://www.metmuseum.org/art/collection/search/435338,Drawings and Prints
"Les Paul prototype recording model, serial no. 001",Gibson,"Mahogany, maple, rosewood, metal, plastic",1982,,,https://www.metmuseum.org/art/collection/search/843062,Musical Instruments
Ground Zero,Robert Arneson,Bronze,1983,,,https://www.metmuseum.org/art/collection/search/632929,Modern and Contemporary Art
Untitled,Sarah Raphael,"Gouache, tempera, and cut, torn, and pasted painted papers on paper",1989,,,https://www.metmuseum.org/art/collection/search/497154,Modern and Contemporary Art
"Fat Free Surrealism, Curated by Red Grooms",Red Grooms,Photomechanical reproduction,1990,,,https://www.metmuseum.org/art/collection/search/376054,Drawings and Prints
Fat conical vase,Zizipho Poswa,Glazed ceramic,2020,,,https://www.metmuseum.org/art/collection/search/846967,Modern and Contemporary Art
Seated hollow figure with helmet,Las Bocas artist(s),"Ceramic, cinnabar, red ochre",-1000,Mexico,https://images.metmuseum.org/CRDImages/ao/original/DP295629.jpg,https://www.metmuseum.org/art/collection/search/313327,The Michael C. Rockefeller Wing
Relief of Hatiay,,Limestone,-1315,Egypt,https://images.metmuseum.org/CRDImages/eg/original/LC-55_144_5_EGDP035842.jpg,https://www.metmuseum.org/art/collection/search/549363,Egyptian Art
"Relief Depicting Meryneith Inspecting His Stables and Ships Unloading Merchandise, from his tomb at Saqqara",,Limestone,-1338,Egypt,https://images.metmuseum.org/CRDImages/eg/original/DP256042.jpg,https://www.metmuseum.org/art/collection/search/553213,Egyptian Art
Fragment of a labeled jar containing fat,,Pottery and ink,-1371,Egypt,,https://www.metmuseum.org/art/collection/search/559415,Egyptian Art
"Cooking Cakes with Fat, Tomb of Rekhmire",Nina de Garis Davies,"Paper, tempera paint, ink",-1464,Egypt,https://images.metmuseum.org/CRDImages/eg/original/DP350525.jpg,https://www.metmuseum.org/art/collection/search/544623,Egyptian Art
Funerary mask of Hatnefer,,"Cartonnage, gold, travertine (Egyptian alabaster), obsidian, ebony",-1482,Egypt,https://images.metmuseum.org/CRDImages/eg/original/vshatnofermask.jpg,https://www.metmuseum.org/art/collection/search/545147,Egyptian Art
Upper part of a male seated figure,,Fine-grained grey stone (graywacke?),-1725,Egypt,https://images.metmuseum.org/CRDImages/eg/original/LC-2021_41_160_EGDP032140.jpg,https://www.metmuseum.org/art/collection/search/329955,Egyptian Art
Offering table from the mortuary temple of Amenemhat I,,Granite,-1966,Egypt,https://images.metmuseum.org/CRDImages/eg/original/09.180.526_EGDP011782.jpg,https://www.metmuseum.org/art/collection/search/544194,Egyptian Art
Model Cattle stable from the tomb of Meketre,,"Plastered and painted wood, gesso",-1978,Egypt,https://images.metmuseum.org/CRDImages/eg/original/DT234927.jpg,https://www.metmuseum.org/art/collection/search/544254,Egyptian Art
Funerary Mask,,Gold,-200,Colombia,https://images.metmuseum.org/CRDImages/ao/original/DT6758.jpg,https://www.metmuseum.org/art/collection/search/316699,The Michael C. Rockefeller Wing
"Fragment of decree of Horus Khabau, probably King Neferkaure",,Limestone,-2105,Egypt,https://images.metmuseum.org/CRDImages/eg/original/LC-14_7_14_EGDP036014.jpg,https://www.metmuseum.org/art/collection/search/552242,Egyptian Art
Drum,Nasca artist(s),"Ceramic, slip",-250,Peru,https://images.metmuseum.org/CRDImages/ao/original/DT1271.jpg,https://www.metmuseum.org/art/collection/search/310563,The Michael C. Rockefeller Wing
Wavy-handled jar,,Pottery,-3200,Egypt,https://images.metmuseum.org/CRDImages/eg/original/99.4.161_EGDP011299.jpg,https://www.metmuseum.org/art/collection/search/547501,Egyptian Art
